"im1" "im2" "im3" "sat1" "sat2" "sat3" "fid1" "cpt2" "cpt3" "cpt4"
"43" 7 9 8 8 1 8 8 1 9 9
"44" 10 8 10 10 8 8 10 10 10 10
"45" 7 9 10 9 7 5 10 10 10 9
"46" 8 8 8 10 5 8 8 10 10 10
"47" 9 10 10 10 5 7 10 9 6 8
"48" 7 8 7 8 8 8 10 10 5 7
"49" 7 8 7 8 5 7 8 10 10 10
"50" 7 9 8 8 7 9 8 5 7 8
"51" 9 10 10 8 7 9 10 5 9 9
"52" 8 10 8 9 6 8 8 5 8 8
"53" 6 9 7 8 7 9 10 9 6 6
"54" 7 8 8 8 8 8 10 8 7 9
"55" 8 8 8 9 7 8 9 7 7 9
"56" 8 8 8 8 5 7 8 8 6 6
"57" 8 8 7 8 5 10 10 10 10 10
"58" 4 6 7 6 5 8 7 8 8 8
"59" 8 8 8 7 8 8 8 2 8 8
"60" 8 8 8 9 8 6 10 6 9 10
"61" 2 8 8 7 8 7 7 9 9 9
"62" 5 7 7 7 4 7 7 8 5 8
"63" 8 8 8 7 6 8 8 8 6 8
"64" 8 10 7 5 5 8 10 5 5 9
"65" 9 9 10 10 10 10 10 10 5 10
"66" 5 7 5 7 7 8 7 8 8 8
"67" 9 9 8 9 7 8 9 8 9 9
"68" 6 8 5 9 7 9 10 10 8 8
"69" 7 7 6 8 5 5 7 5 8 8
"70" 6 8 7 7 8 8 8 5 8 10
"71" 9 9 10 7 8 9 10 5 6 6
"72" 9 9 6 8 5 7 5 7 7 9
"73" 5 8 4 7 5 8 8 8 3 8
"74" 9 10 8 8 5 8 10 6 4 9
"75" 8 8 8 9 6 8 9 2 8 8
"76" 8 8 8 10 5 8 8 10 10 10
"77" 7 8 7 8 6 8 8 6 4 8
"78" 7 10 9 9 6 7 9 5 9 9
"79" 7 8 8 8 6 7 8 8 8 8
"80" 8 9 9 8 8 8 7 6 8 10
"81" 10 10 10 8 10 10 10 5 10 10
"82" 8 10 7 10 7 9 7 8 9 10
"83" 8 8 8 9 7 9 7 5 5 7
"84" 7 8 8 8 7 5 7 5 10 10
"85" 7 8 8 6 7 7 8 7 8 8
"86" 6 10 5 9 10 8 10 2 10 10
"87" 7 7 8 8 5 8 8 4 8 8
"88" 9 10 8 8 8 9 8 6 9 9
"89" 7 8 8 7 1 8 10 10 10 10
"90" 7 10 10 8 5 8 5 1 8 10
"91" 7 10 8 10 7 7 7 4 8 9
"92" 8 5 5 7 8 8 8 10 10 9
"93" 7 8 7 8 8 9 10 7 9 10
"94" 7 7 8 8 8 8 10 10 10 10
"95" 5 5 7 7 5 8 6 9 3 9
"96" 9 9 9 8 5 8 10 7 7 7
"97" 6 7 7 8 6 8 7 7 8 10
"98" 8 5 8 9 8 8 10 8 8 10
"99" 8 5 8 10 6 8 8 8 8 8
"100" 7 9 8 7 5 1 9 5 9 9
"101" 9 9 9 9 7 7 8 9 7 7
"102" 9 8 10 10 9 10 10 9 9 9
"103" 8 8 8 8 5 7 7 7 5 8
"104" 8 10 8 10 10 10 10 8 8 10
"105" 7 6 6 8 7 8 10 10 10 8
"106" 7 8 8 8 7 7 8 9 9 10
"107" 7 10 3 3 5 5 6 10 10 10
"108" 8 9 9 9 5 9 9 9 9 10
"109" 8 8 8 10 8 7 10 7 10 10
"110" 8 9 8 8 7 7 8 7 8 8
"111" 6 8 6 8 7 7 8 6 8 7
"112" 7 8 8 7 5 4 9 7 7 7
"113" 8 8 8 10 8 8 8 8 8 10
"114" 6 5 6 8 5 7 9 5 8 10
"115" 6 8 2 7 3 7 7 9 7 10
"116" 9 8 8 10 6 10 10 10 10 10
"117" 9 10 9 10 8 10 10 6 10 10
"118" 8 9 8 7 5 6 8 8 5 8
"119" 5 10 6 1 3 8 8 8 8 8
"120" 7 5 6 7 7 5 8 8 5 8
"121" 6 9 8 7 6 7 7 10 5 7
"122" 8 9 8 8 6 8 8 5 5 8
"123" 9 9 9 9 7 8 8 9 9 9
"124" 8 8 8 8 8 7 8 5 8 8
"125" 10 10 10 10 8 10 10 10 10 10
"126" 6 8 7 8 5 8 8 5 8 10
"127" 10 10 8 9 10 9 9 10 10 7
"128" 8 8 8 9 8 7 8 7 7 9
"129" 7 10 7 10 8 5 10 10 10 10
"130" 8 8 7 8 8 10 8 10 7 10
"131" 7 8 3 6 2 5 8 5 8 8
"132" 7 8 7 9 6 9 9 3 8 10
"133" 8 4 8 8 5 8 4 5 9 10
"134" 8 8 8 8 8 8 9 8 7 8
"135" 9 10 6 9 7 8 8 6 8 8
"136" 10 10 10 10 8 10 9 7 9 10
"137" 9 9 9 10 5 9 10 1 9 9
"138" 7 9 8 9 8 8 9 10 9 9
"139" 8 6 6 8 4 8 5 5 8 8
"140" 8 10 8 10 10 9 10 9 9 10
"141" 8 9 9 8 5 7 8 5 6 6
"142" 9 8 8 9 8 8 8 10 8 9
"143" 8 8 8 8 5 6 10 5 7 9
"144" 8 8 8 6 5 5 9 10 8 8
"145" 9 8 9 9 6 7 9 10 7 8
"146" 8 8 6 8 8 8 8 8 8 5
"147" 6 7 5 8 9 7 1 8 10 10
"148" 10 8 10 8 5 8 10 10 6 10
"149" 8 10 8 10 5 9 10 5 10 10
"150" 10 10 10 10 10 10 10 10 5 10
"151" 7 8 8 8 5 7 6 5 7 8
"152" 9 9 9 9 8 8 9 5 9 9
"153" 8 8 8 9 5 8 8 6 6 8
"154" 6 8 6 8 5 8 8 3 8 8
"155" 7 9 7 8 5 8 10 9 7 9
"156" 6 8 4 7 5 6 5 5 8 10
"157" 6 8 8 8 5 4 5 3 7 8
"158" 7 8 8 8 7 8 9 7 8 10
"159" 6 9 6 7 7 7 7 6 8 9
"160" 10 10 10 10 5 10 8 10 10 10
"161" 7 10 7 5 5 10 10 5 8 10
"162" 8 8 5 7 5 9 10 10 5 7
"163" 7 6 7 7 5 7 7 8 8 9
"164" 8 8 8 9 5 8 9 5 9 9
"165" 7 8 8 8 5 6 7 9 7 8
"166" 6 9 6 8 6 8 8 8 10 10
"167" 7 9 8 8 6 8 9 6 8 8
"168" 4 8 5 5 5 7 8 8 5 7
"169" 7 8 7 8 8 8 10 10 5 8
"170" 7 9 6 8 6 7 7 8 6 9
"171" 7 10 6 7 6 6 8 5 7 7
"172" 9 10 7 9 7 9 10 6 8 8
"173" 7 5 8 7 5 6 8 8 8 8
"174" 8 8 8 9 8 8 8 5 8 8
"175" 8 10 8 8 5 5 7 10 9 10
"176" 8 8 8 10 5 8 8 5 8 8
"177" 7 10 7 10 5 10 8 10 10 10
"178" 10 10 9 10 10 9 8 5 10 6
"179" 8 9 9 8 6 8 8 8 7 9
"180" 8 10 6 10 5 10 10 4 10 10
"181" 7 7 8 7 6 7 8 8 8 9
"182" 8 9 9 7 7 7 8 5 7 8
"183" 6 6 8 5 7 6 6 9 9 9
"184" 7 7 5 7 5 8 1 1 10 10
"185" 5 10 8 8 5 1 10 5 8 8
"186" 8 9 6 6 8 9 5 10 8 10
"187" 9 9 7 8 7 8 9 9 9 9
"188" 6 9 7 9 5 8 9 10 4 5
"189" 7 8 8 5 1 10 5 5 10 10
"190" 8 10 8 10 8 8 8 3 3 8
"191" 8 8 8 8 5 9 10 10 10 10
"192" 8 8 8 8 5 8 8 5 5 8
"193" 6 6 6 7 5 8 7 6 8 7
"194" 8 10 8 8 8 7 9 6 8 10
"195" 7 7 8 7 7 8 7 5 7 9
"196" 7 9 8 8 8 8 8 9 8 8
"197" 5 8 5 6 6 6 6 8 10 10
"198" 10 8 10 10 7 10 10 6 9 10
"199" 7 10 5 5 10 5 7 10 2 8
"200" 9 7 8 9 10 9 10 10 10 10
"201" 7 8 8 6 7 6 8 8 8 8
"202" 8 8 8 8 5 9 8 6 8 9
"203" 8 9 6 8 5 8 9 9 5 8
"204" 8 9 7 8 8 8 10 9 9 9
"205" 6 7 6 7 5 7 7 5 8 8
"206" 6 9 8 9 5 9 10 6 8 10
"207" 8 8 8 8 7 8 9 6 8 8
"208" 5 8 6 4 5 5 8 6 8 8
"209" 6 9 8 10 4 8 5 8 9 10
"210" 7 8 7 8 5 7 9 8 6 8
"211" 5 10 5 6 2 8 8 10 5 10
"212" 5 10 4 8 5 8 5 5 8 8
"213" 7 8 8 7 5 7 8 5 9 8
"214" 8 9 8 9 5 8 10 10 10 10
"215" 8 8 5 8 5 7 5 5 9 9
"216" 6 7 6 7 5 8 8 9 7 9
"217" 7 10 7 8 5 6 7 6 6 10
"218" 6 7 6 7 6 8 7 7 8 8
"219" 10 10 9 9 3 8 10 6 8 8
"220" 8 8 8 9 7 10 7 7 9 9
"221" 9 8 9 10 9 8 9 10 9 9
"222" 5 3 3 8 1 8 6 10 8 10
"223" 7 7 8 8 5 7 8 5 7 9
"224" 6 9 6 8 8 4 9 6 10 8
"225" 7 8 8 7 8 7 8 7 7 8
"226" 7 10 7 8 5 4 10 10 10 10
"227" 8 10 8 7 5 7 10 10 6 6
"228" 7 9 7 6 5 7 8 9 4 8
"229" 9 10 9 9 6 8 9 9 9 10
"230" 5 8 3 6 3 7 2 8 5 8
"231" 5 7 6 7 6 10 9 9 10 10
"232" 10 5 10 10 5 10 10 10 10 10
"233" 7 6 7 8 6 7 8 7 5 8
"234" 9 8 9 9 7 6 10 8 8 8
"235" 5 6 6 5 3 7 8 3 6 8
"236" 7 8 8 8 5 8 5 4 10 10
"237" 6 10 2 9 8 7 2 10 10 10
"238" 6 8 7 8 6 8 4 5 8 10
"239" 6 8 7 8 5 6 8 5 9 9
"240" 8 8 8 9 7 8 9 5 9 9
"241" 10 10 10 10 8 10 10 6 4 10
"242" 7 6 8 8 6 8 8 10 8 10
"243" 8 10 9 10 9 9 9 8 8 10
"244" 8 8 7 9 5 8 9 5 9 9
"245" 7 8 7 7 7 7 8 5 8 8
"246" 2 9 2 6 4 8 8 4 6 9
"247" 7 8 6 8 7 7 9 9 7 10
"248" 8 10 10 10 7 9 10 3 8 10
"249" 7 9 8 8 10 8 10 10 8 10
"250" 7 10 7 8 8 8 10 8 8 8
"251" 6 8 7 8 7 7 8 8 8 9
"252" 6 8 6 5 5 7 6 1 8 8
"253" 8 9 7 9 7 8 8 9 5 9
"254" 6 6 7 7 5 6 7 7 6 7
"255" 8 8 8 8 8 8 8 6 9 9
"256" 5 10 10 10 10 10 5 5 10 10
"257" 5 8 8 8 5 8 2 10 8 10
"258" 9 9 7 8 4 9 10 10 9 10
"259" 8 10 4 1 1 7 8 9 9 9
"260" 4 8 5 7 7 4 8 7 7 7
"261" 8 9 7 9 6 8 8 9 9 10
"262" 7 8 6 7 6 8 7 5 9 9
"263" 9 8 9 9 5 9 8 8 9 10
"264" 6 8 7 7 2 7 7 2 8 8
"265" 4 7 6 5 4 6 6 10 7 10
"266" 7 8 7 7 7 8 10 4 6 7
"267" 7 8 8 6 7 7 9 8 8 8
"268" 8 8 8 8 5 8 9 8 8 8
"269" 6 7 6 7 5 8 7 8 8 8
"270" 7 8 8 6 5 7 7 8 8 10
"271" 5 8 5 6 3 9 7 5 5 8
"272" 8 7 8 9 4 8 5 9 10 10
"273" 6 10 7 7 5 9 5 10 5 5
"274" 2 9 2 4 1 8 2 9 5 9
"275" 8 8 8 8 8 8 8 8 8 8
"276" 7 7 8 8 10 8 8 5 10 10
"277" 8 7 7 8 8 7 7 7 8 8
"278" 5 8 5 8 8 8 8 8 8 10
"279" 7 10 8 8 10 8 10 10 5 10
"280" 6 8 5 6 6 7 7 6 8 10
"281" 7 9 4 10 4 7 5 9 7 9
"282" 6 8 8 6 6 5 8 7 8 10
"283" 8 9 9 6 8 7 5 10 10 10
"284" 6 8 6 7 6 7 7 7 9 9
